等级,等级名,悬赏池,产物显示名,产物ID,饥饿值,效果buff,原料成本合计_铜币,难度系数,增益系数,通用池系数,理论价值,建议unitWorth_铜币,建议数量min,建议数量max,单次支付min,单次支付max,含猜想原料,计算过程,代表配方原料,模组,悬赏池文件,计价修正说明,数据同步来源
1,T1·简餐基础,通用池,熟培根,farmersdelight:cooked_bacon,4.0,,8,1.15,1.0,0.95,8.74,9,4,24,36,216,是,原料合计8 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 8.74 → ceil → 9；明细: farmersdelight:bacon=8(猜想),生培根(farmersdelight:bacon),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,生切制小肉,kaleidoscope_cookery:raw_cut_small_meats,2.0,,7,1.15,1.0,1.0,8.05,9,4,24,36,216,否,原料合计7 × T1×1.15 × 无增益×1.0 = 8.05 → ceil → 9；明细: minecraft:chicken=7(已定义),生鸡肉(minecraft:chicken),万花筒烹饪,,,
1,T1·简餐基础,通用池,刺身,kaleidoscope_cookery:sashimi,1.0,,7,1.15,1.0,1.0,8.05,9,4,24,36,216,否,原料合计7 × T1×1.15 × 无增益×1.0 = 8.05 → ceil → 9；明细: minecraft:cod=7(已定义),生鳕鱼(minecraft:cod),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,糍粑,kaleidoscope_cookery:sticky_rice_cake,8.0,,7,1.15,1.0,1.0,9,9,3,16,27,144,是,米饭7×1.15 → 9,米饭(kaleidoscope_cookery:cooked_rice),万花筒烹饪,food_common_objs,整盘/组合链重算,bounty_pools JSON
1,T1·简餐基础,通用池,熟鲑鱼,minecraft:cooked_salmon,,,8,1.15,1.0,0.95,8.74,9,4,24,36,216,否,原料合计8 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 8.74 → ceil → 9；明细: minecraft:salmon=8(已定义),生鲑鱼(minecraft:salmon),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,生意面,farmersdelight:raw_pasta,2.0,饥饿 30秒(30%),8,1.15,0.85,1.0,7.82,8,4,24,32,192,是,原料合计8 × T1×1.15 × 负面×0.85 = 7.82 → ceil → 8；明细: #c:dough=8(猜想(模糊)),面团(#c:dough),农夫乐事,,,
1,T1·简餐基础,通用池,黏液饭,kaleidoscope_cookery:slime_ball_meal,9.0,胀气 35秒,8,1.15,0.85,1.0,7.82,8,4,24,32,192,是,原料合计8 × T1×1.15 × 负面×0.85 = 7.82 → ceil → 8；明细: minecraft:slime_ball=8(猜想),粘液球(minecraft:slime_ball),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟鸡肉,minecraft:cooked_chicken,,,7,1.15,1.0,0.95,7.65,8,4,24,32,192,否,原料合计7 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 7.65 → ceil → 8；明细: minecraft:chicken=7(已定义),生鸡肉(minecraft:chicken),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟鳕鱼,minecraft:cooked_cod,,,7,1.15,1.0,0.95,7.65,8,4,24,32,192,否,原料合计7 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 7.65 → ceil → 8；明细: minecraft:cod=7(已定义),生鳕鱼(minecraft:cod),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,卷心菜叶,farmersdelight:cabbage_leaf,1.0,,6,1.15,1.0,1.0,6.9,7,4,24,28,168,是,原料合计6 × T1×1.15 × 无增益×1.0 = 6.90 → ceil → 7；明细: farmersdelight:cabbage=6(猜想),卷心菜(farmersdelight:cabbage),农夫乐事(万花筒机器),,,
1,T1·简餐基础,通用池,米饭,farmersdelight:cooked_rice,6.0,营养 30秒,5,1.15,1.15,0.95,6.28,7,4,24,28,168,否,原料合计5 × T1×1.15 × 轻度×1.15 × 通用池×0.95 = 6.28 → ceil → 7；明细: #c:crops/rice=5(已定义),稻米(#c:crops/rice),农夫乐事,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,熟鲑鱼片,farmersdelight:cooked_salmon_slice,3.0,,6,1.15,1.0,0.95,6.55,7,4,24,28,168,是,原料合计6 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 6.55 → ceil → 7；明细: farmersdelight:salmon_slice=6(猜想),生鲑鱼片(farmersdelight:salmon_slice),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,卷心菜,farmersdelight:cabbage,2.0,,5,1.15,1.0,1.0,5.75,6,4,24,24,144,是,原料合计5 × T1×1.15 × 无增益×1.0 = 5.75 → ceil → 6；明细: farmersdelight:cabbage_crate=5(缺省猜想),箱装卷心菜(farmersdelight:cabbage_crate),农夫乐事,,,
1,T1·简餐基础,通用池,熟鳕鱼片,farmersdelight:cooked_cod_slice,3.0,,5,1.15,1.0,0.95,5.46,6,4,24,24,144,是,原料合计5 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 5.46 → ceil → 6；明细: farmersdelight:cod_slice=5(猜想),生鳕鱼片(farmersdelight:cod_slice),农夫乐事(万花筒机器),food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,T1菜池,洋葱,farmersdelight:onion,2.0,,5,1.15,1.0,1.0,5.75,6,4,24,24,144,是,原料合计5 × T1×1.15 × 无增益×1.0 = 5.75 → ceil → 6；明细: farmersdelight:onion_crate=5(缺省猜想),箱装洋葱(farmersdelight:onion_crate),农夫乐事,,,
1,T1·简餐基础,通用池,米饭,kaleidoscope_cookery:cooked_rice,6.0,,5,1.15,1.0,0.95,5.46,6,4,24,24,144,是,原料合计5 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 5.46 → ceil → 6；明细: #c:grain/rice=5(缺省猜想),稻米(#c:grain/rice),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,煎蛋,kaleidoscope_cookery:fried_egg,4.0,,5,1.15,1.0,0.95,5.46,6,4,24,24,144,否,原料合计5 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 5.46 → ceil → 6；明细: #c:eggs=5(已定义),蛋(#c:eggs),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,烤马铃薯,minecraft:baked_potato,,,4,1.15,1.0,0.95,4.37,5,4,24,20,120,否,原料合计4 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 4.37 → ceil → 5；明细: minecraft:potato=4(已定义),马铃薯(minecraft:potato),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,油炸猪儿虫,kaleidoscope_cookery:fried_caterpillar,12.0,胀气 10秒,4,1.15,0.85,0.95,3.71,4,4,24,16,96,是,原料合计4 × T1×1.15 × 负面×0.85 × 通用池×0.95 = 3.71 → ceil → 4；明细: #kaleidoscope_cookery:caterpillars=4(猜想),毛虫(#kaleidoscope_cookery:caterpillars),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,大骨汤,kaleidoscope_cookery:pork_bone_soup,6.0,活力 5分,3,1.15,1.08,1.0,3.73,4,4,24,16,96,是,原料合计3 × T1×1.15 × 其它×1.08 = 3.73 → ceil → 4；明细: minecraft:bone=3(猜想),骨头(minecraft:bone),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
1,T1·简餐基础,通用池,干海带,minecraft:dried_kelp,,,2,1.15,1.0,0.95,2.18,3,4,24,12,72,否,原料合计2 × T1×1.15 × 无增益×1.0 × 通用池×0.95 = 2.18 → ceil → 3；明细: minecraft:kelp=2(已定义),海带(minecraft:kelp),万花筒烹饪,food_common_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,一盘包子,kaleidoscope_cookery:baozi_plate,,,127,1.05,1.0,1.0,134,134,1,2,134,268,,(5×25+碗2)×1.05=134,,,food_t2_objs,包子链：最便宜裹馅路径+用户指定25,bounty_pools JSON
2,T2·家常中档,T3菜池,寒带风味刺身,kaleidoscope_cookery:cold_style_sashimi,16.0,芥末 5分,82,1.65,1.08,1.0,146.12,147,1,2,147,294,是,原料合计82 × T2×1.65 × 其它×1.08 = 146.12 → ceil → 147；明细: minecraft:snowball=8(缺省猜想(默认8)) + minecraft:snowball=8(缺省猜想(默认8)) + minecraft:snowball=8(缺省猜想(默认8)) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + minecraft:bowl=2(猜想),雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 雪球(minecraft:snowball) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),万花筒烹饪,food_t3_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T3菜池,苔原风味刺身,kaleidoscope_cookery:tundra_style_sashimi,16.0,芥末 5分,74,1.65,1.08,1.0,131.87,132,1,2,132,264,是,原料合计74 × T2×1.65 × 其它×1.08 = 131.87 → ceil → 132；明细: #minecraft:flowers=8(缺省猜想(默认8)) + #minecraft:flowers=8(缺省猜想(默认8)) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + minecraft:bowl=2(猜想),花(#minecraft:flowers) + 花(#minecraft:flowers) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),万花筒烹饪,food_t3_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,钻石,minecraft:diamond,,,80,1.65,1.0,1.0,132.0,132,2,12,264,1584,是,原料合计80 × T2×1.65 × 无增益×1.0 = 132.00 → ceil → 132；明细: minecraft:deepslate_diamond_ore=80(缺省猜想),深层钻石矿石(minecraft:deepslate_diamond_ore),万花筒烹饪,,,
2,T2·家常中档,T3菜池,沙漠风味刺身,kaleidoscope_cookery:desert_style_sashimi,16.0,芥末 5分,66,1.65,1.08,1.0,117.61,118,1,2,118,236,是,原料合计66 × T2×1.65 × 其它×1.08 = 117.61 → ceil → 118；明细: minecraft:cactus=4(已定义) + minecraft:cactus=4(已定义) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + kaleidoscope_cookery:sashimi=14(猜想) + minecraft:bowl=2(猜想),仙人掌(minecraft:cactus) + 仙人掌(minecraft:cactus) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),万花筒烹饪,food_t3_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T3菜池,紫颂果拼盘,kaleidoscope_cookery:chorus_fruit_platter,,,102,1.05,1.0,1.0,108,108,1,2,108,216,是,5×紫颂20+碗2=102 ×1.05 → 108,紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 碗(minecraft:bowl),万花筒烹饪,food_t3_objs,整盘/组合链重算,bounty_pools JSON
2,T2·家常中档,T2菜池,水果沙拉,farmersdelight:fruit_salad,6.0,生命恢复 5秒,38,1.65,1.35,1.0,84.64,85,1,4,85,340,是,原料合计38 × T2×1.65 × 强增益×1.35 = 84.64 → ceil → 85；明细: minecraft:apple=6(猜想) + minecraft:melon_slice=5(已定义) + minecraft:melon_slice=5(已定义) + #c:foods/berry=6(猜想) + #c:foods/berry=6(猜想) + farmersdelight:pumpkin_slice=8(缺省猜想(默认8)) + minecraft:bowl=2(猜想),苹果(minecraft:apple) + 西瓜片(minecraft:melon_slice) + 西瓜片(minecraft:melon_slice) + 浆果(#c:foods/berry) + 浆果(#c:foods/berry) + 南瓜片(farmersdelight:pumpkin_slice) + 碗(minecraft:bowl),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,培根蛋,farmersdelight:bacon_and_eggs,10.0,营养 1分,42,1.65,1.15,1.0,79.69,80,1,6,80,480,是,原料合计42 × T2×1.65 × 轻度×1.15 = 79.69 → ceil → 80；明细: #c:foods/cooked_bacon=12(缺省猜想) + #c:foods/cooked_bacon=12(缺省猜想) + minecraft:bowl=2(猜想) + #c:foods/cooked_egg=8(缺省猜想(默认8)) + #c:foods/cooked_egg=8(缺省猜想(默认8)),熟培根(#c:foods/cooked_bacon) + 熟培根(#c:foods/cooked_bacon) + 碗(minecraft:bowl) + 熟蛋(#c:foods/cooked_egg) + 熟蛋(#c:foods/cooked_egg),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,汉堡包,farmersdelight:hamburger,11.0,,41,1.65,1.0,1.0,67.65,68,1,6,68,408,是,原料合计41 × T2×1.65 × 无增益×1.0 = 67.65 → ceil → 68；明细: #c:foods/bread=12(猜想) + farmersdelight:beef_patty=13(猜想) + #c:foods/leafy_green=4(猜想) + #c:crops/tomato=6(已定义) + #c:crops/onion=6(已定义),面包(#c:foods/bread) + 牛肉饼(farmersdelight:beef_patty) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 洋葱(#c:crops/onion),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,一盘粽子,kaleidoscope_cookery:zongzi_plate,,,62,1.05,1.0,1.0,66,66,1,4,66,264,,整盘=(4×熟粽15+碗2)×1.05=65.1→66,,,food_t2_objs,整盘/组合链重算,bounty_pools JSON 补录
2,T2·家常中档,T2菜池,羊肉卷饼,farmersdelight:mutton_wrap,10.0,,39,1.65,1.0,1.0,64.35,65,1,6,65,390,是,原料合计39 × T2×1.65 × 无增益×1.0 = 64.35 → ceil → 65；明细: #c:foods/bread=12(猜想) + #c:foods/cooked_mutton=17(猜想) + #c:foods/leafy_green=4(猜想) + #c:crops/onion=6(已定义),面包(#c:foods/bread) + 熟羊肉(#c:foods/cooked_mutton) + 绿叶菜(#c:foods/leafy_green) + 洋葱(#c:crops/onion),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,羊排意面,farmersdelight:pasta_with_mutton_chop,12.0,营养 3分,33,1.65,1.15,1.0,62.62,63,1,6,63,378,是,原料合计33 × T2×1.65 × 轻度×1.15 = 62.62 → ceil → 63；明细: #c:foods/raw_mutton=15(已定义) + #c:foods/pasta=8(缺省猜想(默认8)) + farmersdelight:tomato_sauce=10(猜想),生羊肉(#c:foods/raw_mutton) + 意面(#c:foods/pasta) + 番茄酱(farmersdelight:tomato_sauce),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,冷肉炙,kaleidoscope_cookery:cold_roasted_meat,16.0,,38,1.65,1.0,1.0,62.7,63,1,6,63,378,是,原料合计38 × T2×1.65 × 无增益×1.0 = 62.70 → ceil → 63；明细: minecraft:cooked_beef=12(猜想) + minecraft:cooked_beef=12(猜想) + minecraft:cooked_beef=12(猜想) + minecraft:bowl=2(猜想),牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,牛排配马铃薯,farmersdelight:steak_and_potatoes,12.0,营养 3分,32,1.65,1.15,1.0,60.72,61,1,6,61,366,是,原料合计32 × T2×1.65 × 轻度×1.15 = 60.72 → ceil → 61；明细: minecraft:baked_potato=5(猜想) + minecraft:cooked_beef=12(猜想) + minecraft:bowl=2(猜想) + #c:crops/onion=6(已定义) + kaleidoscope_cookery:cooked_rice=7(猜想),烤马铃薯(minecraft:baked_potato) + 牛排(minecraft:cooked_beef) + 碗(minecraft:bowl) + 洋葱(#c:crops/onion) + 米饭(kaleidoscope_cookery:cooked_rice),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,一盘牛皮糖,kaleidoscope_cookery:sticky_candy_plate,,,58,1.05,1.0,1.0,61,61,1,4,61,244,,整盘=(4×牛皮糖14+碗2)×1.05=60.9→61,,,food_t2_objs,整盘/组合链重算,bounty_pools JSON 补录
2,T2·家常中档,T2菜池,培根三明治,farmersdelight:bacon_sandwich,10.0,,34,1.65,1.0,1.0,56.1,57,1,6,57,342,是,原料合计34 × T2×1.65 × 无增益×1.0 = 56.10 → ceil → 57；明细: #c:foods/bread=12(猜想) + #c:foods/cooked_bacon=12(缺省猜想) + #c:foods/leafy_green=4(猜想) + #c:crops/tomato=6(已定义),面包(#c:foods/bread) + 熟培根(#c:foods/cooked_bacon) + 绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,洋葱汤,farmersdelight:onion_soup,12.0,营养 3分,30,1.65,1.15,1.0,56.92,57,1,6,57,342,是,原料合计30 × T2×1.65 × 轻度×1.15 = 56.92 → ceil → 57；明细: #c:crops/onion=6(已定义) + #c:crops/onion=6(已定义) + #c:foods/bread=12(猜想) + #c:drinks/milk=6(猜想),洋葱(#c:crops/onion) + 洋葱(#c:crops/onion) + 面包(#c:foods/bread) + 奶(#c:drinks/milk),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,包子,kaleidoscope_cookery:baozi,8.0,伤害吸收 1分20秒,18,1.65,1.35,1.0,25,25,2,12,50,300,是,裹馅最便宜:鸡/鳕7+番茄/菜6+面团5=18；用户指定蒸制定价25,裹馅面食(kaleidoscope_cookery:stuffed_dough_food),万花筒烹饪,food_t2_objs,包子链：最便宜裹馅路径+用户指定25,bounty_pools JSON
2,T2·家常中档,T3菜池,恐惧浓汤,kaleidoscope_cookery:fearsome_thick_soup,4.0,硫磺 8分,30,1.65,1.08,1.0,53.46,54,1,4,54,216,是,原料合计30 × T2×1.65 × 其它×1.08 = 53.46 → ceil → 54；明细: minecraft:rotten_flesh=2(猜想) + minecraft:sculk=28(缺省猜想),腐肉(minecraft:rotten_flesh) + 幽匿块(minecraft:sculk),万花筒烹饪,food_t3_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,蔬菜杂烩,farmersdelight:ratatouille,10.0,营养 1分,27,1.65,1.15,1.0,51.23,52,2,8,104,416,是,原料合计27 × T2×1.65 × 轻度×1.15 = 51.23 → ceil → 52；明细: #c:crops/tomato=6(已定义) + #c:crops/onion=6(已定义) + #c:crops/beetroot=7(猜想) + #c:foods/vegetable=8(缺省猜想(默认8)),番茄(#c:crops/tomato) + 洋葱(#c:crops/onion) + 甜菜根(#c:crops/beetroot) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,一盘糍粑,kaleidoscope_cookery:sticky_rice_cake_plate,,,47,1.05,1.0,1.0,50,50,1,4,50,200,,整盘=(5×糍粑9+碗2)×1.05=49.35→50,,,food_t2_objs,整盘/组合链重算,bounty_pools JSON 补录
2,T2·家常中档,T2菜池,鱼香肉丝,kaleidoscope_cookery:fish_flavored_shredded_pork,9.0,活力 1分30秒,27,1.65,1.08,1.0,48.11,49,2,8,98,392,是,原料合计27 × T2×1.65 × 其它×1.08 = 48.11 → ceil → 49；明细: #c:foods/raw_pork=15(已定义) + #c:crops/chilipepper=7(猜想) + #c:mushrooms=5(猜想),生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 蘑菇(#c:mushrooms),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,羊肉烩面,kaleidoscope_cookery:hui_noodle,14.0,生机 8分,27,1.65,1.08,1.0,48.11,49,2,8,98,392,是,原料合计27 × T2×1.65 × 其它×1.08 = 48.11 → ceil → 49；明细: #c:foods/raw_mutton=15(已定义) + kaleidoscope_cookery:raw_noodles=12(缺省猜想),生羊肉(#c:foods/raw_mutton) + 生面条(kaleidoscope_cookery:raw_noodles),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,鸡肉三明治,farmersdelight:chicken_sandwich,10.0,,29,1.65,1.0,1.0,47.85,48,2,8,96,384,是,原料合计29 × T2×1.65 × 无增益×1.0 = 47.85 → ceil → 48；明细: #c:foods/bread=12(猜想) + #c:foods/cooked_chicken=9(猜想) + #c:foods/leafy_green=4(猜想) + #c:crops/carrot=4(猜想),面包(#c:foods/bread) + 熟鸡肉(#c:foods/cooked_chicken) + 绿叶菜(#c:foods/leafy_green) + 胡萝卜(#c:crops/carrot),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,紫水晶碎片,minecraft:amethyst_shard,,,28,1.65,1.0,1.0,46.2,47,2,12,94,564,是,原料合计28 × T2×1.65 × 无增益×1.0 = 46.20 → ceil → 47；明细: minecraft:amethyst_block=28(缺省猜想),紫水晶块(minecraft:amethyst_block),万花筒烹饪,,,
2,T2·家常中档,T2菜池,鱼肉炖,farmersdelight:fish_stew,12.0,营养 3分,24,1.65,1.15,1.0,45.54,46,2,8,92,368,是,原料合计24 × T2×1.65 × 轻度×1.15 = 45.54 → ceil → 46；明细: 不含河豚=8(缺省猜想(默认8)) + farmersdelight:tomato_sauce=10(猜想) + #c:crops/onion=6(已定义),安全生鱼(不含河豚)(#c:foods/safe_raw_fish) + 番茄酱(farmersdelight:tomato_sauce) + 洋葱(#c:crops/onion),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,狗粮,farmersdelight:dog_food,4.0,,27,1.65,1.0,1.0,44.55,45,2,12,90,540,是,原料合计27 × T2×1.65 × 无增益×1.0 = 44.55 → ceil → 45；明细: minecraft:rotten_flesh=2(猜想) + minecraft:bone_meal=8(缺省猜想(默认8)) + #c:foods/raw_meat=12(缺省猜想) + #c:crops/rice=5(已定义),腐肉(minecraft:rotten_flesh) + 骨粉(minecraft:bone_meal) + 生肉(#c:foods/raw_meat) + 稻米(#c:crops/rice),农夫乐事,,,
2,T2·家常中档,T2菜池,饺子,farmersdelight:dumplings,8.0,,27,1.65,1.0,1.0,44.55,45,2,8,90,360,是,原料合计27 × T2×1.65 × 无增益×1.0 = 44.55 → ceil → 45；明细: #c:dough=8(猜想(模糊)) + #c:crops/cabbage=6(已定义) + #c:crops/onion=6(已定义) + #c:foods/raw_chicken=7(已定义),面团(#c:dough) + 卷心菜(#c:crops/cabbage) + 洋葱(#c:crops/onion) + 任选其一:[生鸡肉(#c:foods/raw_chicken) | 生猪排(#c:foods/raw_pork) | 生牛肉(#c:foods/raw_beef) | 棕色蘑菇(minecraft:brown_mushroom)],农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,一盘青团,kaleidoscope_cookery:qingtuan_plate,,,42,1.05,1.0,1.0,45,45,1,6,45,270,,整盘=(4×青团10+碗2)×1.05=44.1→45,,,food_t2_objs,整盘/组合链重算,bounty_pools JSON 补录
2,T2·家常中档,T2菜池,鸡肉汤,farmersdelight:chicken_soup,12.0,营养 3分,23,1.65,1.15,1.0,43.64,44,2,8,88,352,是,原料合计23 × T2×1.65 × 轻度×1.15 = 43.64 → ceil → 44；明细: #c:foods/raw_chicken=7(已定义) + #c:crops/carrot=4(猜想) + #c:foods/leafy_green=4(猜想) + #c:foods/vegetable=8(缺省猜想(默认8)),生鸡肉(#c:foods/raw_chicken) + 胡萝卜(#c:crops/carrot) + 绿叶菜(#c:foods/leafy_green) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,发光浆果蛋奶沙司,farmersdelight:glow_berry_custard,7.0,发光 5秒,24,1.65,1.08,1.0,42.77,43,2,8,86,344,是,原料合计24 × T2×1.65 × 其它×1.08 = 42.77 → ceil → 43；明细: minecraft:glow_berries=9(已定义) + #c:drinks/milk=6(猜想) + #c:eggs=5(已定义) + minecraft:sugar=4(已定义),发光浆果(minecraft:glow_berries) + 奶(#c:drinks/milk) + 蛋(#c:eggs) + 糖(minecraft:sugar),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,混合沙拉,farmersdelight:mixed_salad,6.0,生命恢复 5秒,19,1.65,1.35,1.0,42.32,43,2,8,86,344,是,原料合计19 × T2×1.65 × 强增益×1.35 = 42.32 → ceil → 43；明细: #c:foods/leafy_green=4(猜想) + #c:crops/tomato=6(已定义) + #c:crops/beetroot=7(猜想) + minecraft:bowl=2(猜想),绿叶菜(#c:foods/leafy_green) + 番茄(#c:crops/tomato) + 甜菜根(#c:crops/beetroot) + 碗(minecraft:bowl),农夫乐事,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,烤包子,kaleidoscope_cookery:samsa,,,18,1.65,1.0,1.0,25,25,2,12,50,300,,裹馅18×1.35烤=25,,,food_t2_objs,包子链：最便宜裹馅路径+用户指定25,bounty_pools JSON
2,T2·家常中档,T2菜池,牛肉面,kaleidoscope_cookery:beef_noodle,14.0,生机 8分,22,1.65,1.08,1.0,39.2,40,2,8,80,320,是,原料合计22 × T2×1.65 × 其它×1.08 = 39.20 → ceil → 40；明细: #c:foods/raw_beef=10(已定义) + kaleidoscope_cookery:raw_noodles=12(缺省猜想),生牛肉(#c:foods/raw_beef) + 生面条(kaleidoscope_cookery:raw_noodles),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,青椒炒肉,kaleidoscope_cookery:stir_fried_pork_with_peppers,9.0,活力 1分30秒,22,1.65,1.08,1.0,39.2,40,2,8,80,320,是,原料合计22 × T2×1.65 × 其它×1.08 = 39.20 → ceil → 40；明细: #c:foods/raw_pork=15(已定义) + #c:crops/chilipepper=7(猜想),生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
2,T2·家常中档,T2菜池,乌冬面,kaleidoscope_cookery:udon_noodle,14.0,生机 8分,22,1.65,1.08,1.0,39.2,40,2,8,80,320,是,原料合计22 × T2×1.65 × 其它×1.08 = 39.20 → ceil → 40；明细: #c:crops/lettuce=5(缺省猜想) + #c:eggs=5(已定义) + kaleidoscope_cookery:raw_noodles=12(缺省猜想),生菜(#c:crops/lettuce) + 蛋(#c:eggs) + 生面条(kaleidoscope_cookery:raw_noodles),万花筒烹饪,food_t2_objs,与悬赏池一致,bounty_pools JSON
